request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Since the requested amount of ZAR 34,034 is affordable now and requires no spending changes, we recommend paying the full amount by February 5, 2025."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.2 today. This keeps at least USD 1900 available through the 90-day forecast.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This keeps at least EUR 600 available through the 90-day forecast.
request_95,40709.47,not_affordable,not_recommended,none,,none,Do not proceed with the INR 553000 request; it cannot be completed safely within the forecast period.
request_96,40018.43,not_affordable,not_recommended,none,,none,Do not proceed with the INR 90200 request; it cannot be completed safely within the forecast period.
request_97,2611.39,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-16,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This keeps at least ZAR 29700 available."
request_98,11666.58,affordable_later,wait,2025-08-16:27148,2025-08-16,none,"Wait until 2025-08-16, then pay ZAR 27148 in full. Paying earlier would risk the ZAR 30000 minimum."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This keeps at least ZAR 49100 available through the 90-day forecast.
request_100,30229.44,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-16,none,"Use 3 installments of ZAR 12866.19, starting 2024-06-13. This keeps at least ZAR 32500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"The requested investment of INR 143,500 is affordable now and can be paid in full by November 3, 2025, without requiring any spending changes."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This keeps at least EUR 900 available."
request_103,17005.25,not_affordable,not_recommended,none,,none,Do not proceed with the INR 368300 request; it cannot be completed safely within the forecast period.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"The purchase is affordable now with no spending changes needed, and the full payment of ZAR 17204 can be made by 2025-02-04 while maintaining a minimum balance of ZAR 24700."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This keeps at least INR 73900 available through the 90-day forecast.
request_106,1044.33,affordable_later,wait,2025-01-16:2207.70,2025-01-16,none,"Wait until 2025-01-16, then pay EUR 2207.7 in full. Paying earlier would risk the EUR 1200 minimum."
request_107,1430.08,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2534.4 request; it cannot be completed safely within the forecast period.
request_108,4294.82,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 55308 request; it cannot be completed safely within the forecast period.
request_109,815.07,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-16,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This keeps at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This keeps at least ZAR 11200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Since the requested debt repayment of IDR 16,625,000 is affordable now without requiring spending changes and your minimum balance remains sufficient, we recommend paying the full amount by April 3, 2026."
request_112,0,not_affordable,not_recommended,none,,none,"The requested family transfer of 271.7 EUR is not affordable as the available amount is 0.0 EUR, and maintaining a minimum balance of 500.0 EUR is required."
request_113,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 36500 request; it cannot be completed safely within the forecast period.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today. This keeps at least INR 113400 available through the 90-day forecast.
request_115,16333.24,affordable_later,wait,2024-10-16:80500,2024-10-16,none,"Wait until 2024-10-16, then pay INR 80500 in full. Paying earlier would risk the INR 38800 minimum."
request_116,21761.37,not_affordable,not_recommended,none,,none,Do not proceed with the INR 241200 request; it cannot be completed safely within the forecast period.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. This keeps at least EUR 1000 available through the 90-day forecast.
request_118,738.1,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This keeps at least EUR 600 available."
request_119,0,not_affordable,not_recommended,none,,none,"The requested education expense of INR 203,500 is not affordable as the safe-to-pay amount is INR 0, and no payment method or plan is recommended."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This keeps at least IDR 20050300 available through the 90-day forecast.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.6 today. This keeps at least USD 800 available through the 90-day forecast.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This keeps at least IDR 12588500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"The requested investment of IDR 4,076,000 is affordable now and can be paid in full by January 7, 2026, with no spending changes needed."
request_124,1472.05,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-16,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This keeps at least EUR 1600 available."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. This keeps at least ZAR 11300 available through the 90-day forecast.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This keeps at least INR 129700 available through the 90-day forecast.
request_127,0,not_affordable,not_recommended,none,,none,"The requested family transfer of ZAR 23,980 is not affordable as the amount safe to pay is ZAR 0, and no payment method or plan is recommended."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Since the requested education amount of ZAR 25,168 is affordable now with no spending changes needed and your minimum balance remains above ZAR 42,600, we recommend paying the full amount by 2025-02-07."
request_129,183.46,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2668.8 request; it cannot be completed safely within the forecast period.
request_130,539.79,affordable_later,wait,2024-12-16:1978.80,2024-12-16,none,"Wait until 2024-12-16, then pay USD 1978.8 in full. Paying earlier would risk the USD 1400 minimum."
request_131,1346.57,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-16,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This keeps at least USD 1100 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 today. This keeps at least USD 1100 available through the 90-day forecast.
request_133,3653065.03,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 15770000 request; it cannot be completed safely within the forecast period.
request_134,6826380.51,affordable_later,wait,2025-09-16:21831000,2025-09-16,none,"Wait until 2025-09-16, then pay IDR 21831000 in full. Paying earlier would risk the IDR 15902500 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.8 today. This keeps at least USD 500 available through the 90-day forecast.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.4 today. This keeps at least USD 1100 available through the 90-day forecast.
request_137,38253.57,affordable_later,wait,2025-12-16:80100,2025-12-16,none,"Wait until 2025-12-16, then pay INR 80100 in full. Paying earlier would risk the INR 71800 minimum."
request_138,1091.66,affordable_with_plan,partial_payment,2026-04-07:1091.66|2026-04-16:165.28,2026-04-16,none,Pay EUR 1091.66 today and the remaining EUR 165.28 on 2026-04-16. This completes the request and protects the EUR 2300 minimum.
request_139,2044.81,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-16,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This keeps at least USD 1500 available."
request_140,0,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 62832 request; it cannot be completed safely within the forecast period.
request_141,34020.49,not_affordable,not_recommended,none,,none,Do not proceed with the INR 171600 request; it cannot be completed safely within the forecast period.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Since the requested investment amount of $1,263.60 is affordable now and no spending changes are needed, it is recommended to proceed with full payment by December 5, 2024."
request_143,3819.6,affordable_later,wait,2025-06-16:12584,2025-06-16,none,"Wait until 2025-06-16, then pay ZAR 12584 in full. Paying earlier would risk the ZAR 11300 minimum."
request_144,0,not_affordable,not_recommended,none,,none,Do not proceed with the USD 233.34 request; it cannot be completed safely within the forecast period.
request_145,71402.54,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-16,none,"Use 3 installments of INR 75365.33, starting 2024-03-20. This keeps at least INR 155400 available."
request_146,22202.53,not_affordable,not_recommended,none,,none,Do not proceed with the INR 449400 request; it cannot be completed safely within the forecast period.
request_147,0,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1129.7 request; it cannot be completed safely within the forecast period.
request_148,9660.58,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-16,none,"Use 3 installments of ZAR 7710.56, starting 2024-06-14. This keeps at least ZAR 20000 available."
request_149,26669.32,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-16,none,"Use 3 installments of ZAR 12706.03, starting 2025-11-18. This keeps at least ZAR 42100 available."
request_150,376.34,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-16,none,"Use 3 installments of EUR 171.98, starting 2026-01-06. This keeps at least EUR 700 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"The requested housing payment of IDR 26,999,000 is affordable now and can be paid in full by September 3, 2024, without requiring any spending changes."
request_152,12858.36,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-16,none,"Use 3 installments of ZAR 4812.43, starting 2025-02-12. This keeps at least ZAR 11900 available."
request_153,333,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2830.8 request; it cannot be completed safely within the forecast period.
request_154,288.19,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1625.8 request; it cannot be completed safely within the forecast period.
request_155,54998.67,not_affordable,not_recommended,none,,none,Do not proceed with the INR 112500 request; it cannot be completed safely within the forecast period.
request_156,9913.78,affordable_later,wait,2026-05-16:43076,2026-05-16,none,"Wait until 2026-05-16, then pay ZAR 43076 in full. Paying earlier would risk the ZAR 26900 minimum."
request_157,6475407.01,affordable_later,wait,2024-03-16:23503000,2024-03-16,none,"Wait until 2024-03-16, then pay IDR 23503000 in full. Paying earlier would risk the IDR 15714100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"The requested emergency expense of INR 242,600 is affordable with a recommended installment plan split into three payments of INR 84,101.33 starting from August 7, 2025, with no spending changes needed."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today. This keeps at least ZAR 8700 available through the 90-day forecast.
request_160,627,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-16,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This keeps at least EUR 1200 available."
request_161,0,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 21204000 request; it cannot be completed safely within the forecast period.
request_162,3673900.22,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 83923000 request; it cannot be completed safely within the forecast period.
request_163,12853789.8,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-16,none,"Use 3 installments of IDR 6692053.33, starting 2024-09-10. This keeps at least IDR 26728700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"The requested amount of IDR 27,018,000 is affordable with a recommended installment plan of three payments of IDR 9,366,240 each, starting February 11, 2025, and no spending changes are needed."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This keeps at least INR 95000 available through the 90-day forecast.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This keeps at least USD 1700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"The requested housing payment of ZAR 43,802 is affordable now and can be fully paid by 2025-05-05 without requiring any spending changes."
request_168,44703.49,affordable_with_plan,partial_payment,2026-01-07:44703.49|2026-01-16:4676.51,2026-01-16,none,Pay INR 44703.49 today and the remaining INR 4676.51 on 2026-01-16. This completes the request and protects the INR 114400 minimum.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"The requested education payment of ZAR 41,976 is affordable now with no spending changes needed, and the full amount can be safely paid by 2024-03-04 while maintaining a minimum balance of ZAR 18,700."
request_170,33480467.32,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-16,none,"Use 3 installments of IDR 12804480, starting 2025-08-06. This keeps at least IDR 24715800 available."
request_171,91.85,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1878.8 request; it cannot be completed safely within the forecast period.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 2024-06-05. This keeps at least ZAR 27200 available."
request_173,74280.48,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-16,none,"Use 3 installments of INR 39173.33, starting 2025-11-21. This keeps at least INR 79100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This keeps at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"The requested emergency expense of €2346.30 is affordable now and can be paid in full by September 6, 2024, without requiring any spending changes."
request_176,533.66,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 1239.7 request; it cannot be completed safely within the forecast period.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"The requested $1017.60 emergency expense is affordable now and can be paid in full by January 5, 2026 without requiring any spending changes."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This keeps at least EUR 1400 available."
request_179,25825967.67,affordable_later,wait,2025-05-16:41648000,2025-05-16,none,"Wait until 2025-05-16, then pay IDR 41648000 in full. Paying earlier would risk the IDR 41430800 minimum."
request_180,0,not_affordable,not_recommended,none,,none,Do not proceed with the INR 66500 request; it cannot be completed safely within the forecast period.
request_181,710.56,not_affordable,not_recommended,none,,none,Do not proceed with the USD 5059.2 request; it cannot be completed safely within the forecast period.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Since the requested amount of ZAR 65,714 is affordable now and requires no spending changes, it is recommended to pay the full amount by August 5, 2025."
request_183,25683390.79,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-16,none,"Use 3 installments of IDR 9313546.67, starting 2026-04-10. This keeps at least IDR 11878300 available."
request_184,21086.93,not_affordable,not_recommended,none,,none,Do not proceed with the INR 251900 request; it cannot be completed safely within the forecast period.
request_185,587.45,affordable_later,wait,2025-11-16:1257.30,2025-11-16,none,"Wait until 2025-11-16, then pay EUR 1257.3 in full. Paying earlier would risk the EUR 1300 minimum."
request_186,16381.82,affordable_later,wait,2026-01-16:26554,2026-01-16,none,"Wait until 2026-01-16, then pay ZAR 26554 in full. Paying earlier would risk the ZAR 22000 minimum."
request_187,43123.34,affordable_later,wait,2024-10-16:187500,2024-10-16,none,"Wait until 2024-10-16, then pay INR 187500 in full. Paying earlier would risk the INR 128300 minimum."
request_188,283.09,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2464 request; it cannot be completed safely within the forecast period.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.4 today. This keeps at least EUR 400 available through the 90-day forecast.
request_190,796.73,affordable_later,wait,2025-01-16:2557.50,2025-01-16,none,"Wait until 2025-01-16, then pay EUR 2557.5 in full. Paying earlier would risk the EUR 1600 minimum."
